,Date,Temperature
485,2014/05/02,22.0
486,2014/05/03,21.0
487,2014/05/04,25.0
488,2014/05/05,20.0
489,2014/05/06,18.0
490,2014/05/07,23.0
491,2014/05/08,25.0
492,2014/05/09,23.0
493,2014/05/10,27.0
494,2014/05/11,28.0
495,2014/05/12,29.0
496,2014/05/13,30.0
497,2014/05/14,30.0
498,2014/05/15,29.0
499,2014/05/16,25.0
500,2014/05/17,28.0
501,2014/05/18,30.0
502,2014/05/19,27.0
503,2014/05/20,27.0
504,2014/05/21,22.0
505,2014/05/22,26.0
506,2014/05/23,27.0
507,2014/05/24,28.0
508,2014/05/25,29.0
509,2014/05/26,31.0
510,2014/05/27,29.0
511,2014/05/28,30.0
512,2014/05/29,28.0
513,2014/05/30,31.0
514,2014/05/31,29.0
515,2014/06/01,30.0
516,2014/06/02,30.0
517,2014/06/03,28.0
518,2014/06/04,28.0
519,2014/06/05,29.0
520,2014/06/06,25.0
521,2014/06/07,28.0
522,2014/06/08,29.0
523,2014/06/09,29.0
524,2014/06/10,27.0
525,2014/06/11,26.0
526,2014/06/12,27.0
527,2014/06/13,29.0
528,2014/06/14,29.0
529,2014/06/15,28.0
530,2014/06/16,32.0
531,2014/06/17,31.0
532,2014/06/18,32.0
533,2014/06/19,30.0
534,2014/06/20,31.0
535,2014/06/21,32.0
536,2014/06/22,32.0
537,2014/06/23,27.0
538,2014/06/24,29.0
539,2014/06/25,31.0
540,2014/06/26,31.0
541,2014/06/27,33.0
542,2014/06/28,33.0
543,2014/06/29,32.0
544,2014/06/30,31.0
545,2014/07/01,32.0
546,2014/07/02,33.0
547,2014/07/03,32.0
548,2014/07/04,33.0
549,2014/07/05,33.0
550,2014/07/06,33.0
551,2014/07/07,34.0
552,2014/07/08,30.0
553,2014/07/09,33.0
554,2014/07/10,33.0
555,2014/07/11,33.0
556,2014/07/12,34.0
557,2014/07/13,33.0
558,2014/07/14,33.0
559,2014/07/15,34.0
560,2014/07/16,33.0
561,2014/07/17,33.0
562,2014/07/18,33.0
563,2014/07/19,31.0
564,2014/07/20,33.0
565,2014/07/21,33.0
